Simon #3 cutout,Simon #6 cutout,Simon #14 cutout,Simon #16 cutout,Simon #18 cutout,Simon #19 cutout,Simon #20 cutout,Simon #22 cutout,Simon #32 cutout,Simon #33 cutout,Simon #34 cutout,Simon #38 cutout,Simon #41 cutout,Simon #43 cutout,Simon #57 cutout,Simon #58 cutout,Simon #70 cutout,Simon #73 cutout,Simon #82 cutout,Simon #83 cutout,Simon #104 cutout,Simon #106 cutout,Simon #109 cutout,Simon #112 cutout
,,,,,,-0.14,,,,,-1.71,4.24,,-1.06,2.46,,,-2.04,,,,-3.33,
,,,,,,-0.12,,,,,-1.74,,,-1.01,2.49,,,-1.99,,,,-3.3,
,,,,,,-0.09,,,,,-1.75,,,-0.96,2.58,,,-1.95,,,,-3.3,
,,,,,,-0.07,,,,,-1.77,,,-0.95,2.61,,,-1.92,,,,-3.3,
,,,,,,-0.05,,,,,-1.78,,,-0.88,2.66,,,-1.88,,,,-3.28,
,,,,,,-0.02,,,,,-1.8,,,-0.85,2.69,,,-1.86,,,,-3.28,
,,,,,,0,,,,,-1.83,,,-0.78,2.72,,,-1.82,,,,-3.28,
,,,,,,0.02,,,,,-1.85,,,-0.73,2.78,,,-1.76,,,,-3.28,
,,,,,,0.05,,,,,-1.86,,,-0.71,2.81,,,-1.73,,,,-3.28,
,,,,,,0.07,,,,,-1.86,,,-0.68,2.87,,,-1.67,,,,-3.28,
,,,,,,0.09,,,,,-1.88,,,-0.61,2.93,,,-1.67,,,,-3.28,
,,,,,,0.09,,,,,-1.89,,,-0.57,2.99,,,-1.65,,,,-3.28,
,,,,,,0.12,,,,,-1.91,,,-0.55,3.02,,,-1.61,,,,-3.28,
,,,,,,0.14,,,,,-1.94,,,-0.48,3.07,,,-1.59,,,,-3.28,
,,,,,,0.16,,,,,-1.94,,,-0.4,3.16,,,-1.56,,,,-3.28,
,,,,,,0.19,,,,,-1.98,,,-0.35,3.25,,,-1.52,,,,-3.3,
,,,,,,0.21,,,,,-1.98,,,-0.27,3.25,,,-1.47,,,,-3.3,
,,,,,,0.26,,,,,-2,,,-0.22,3.31,,,-1.43,,,,-3.3,
,,,,,,0.26,,,,,-2.01,,,-0.2,3.4,,,-1.38,,,,-3.3,
,,,,,,0.28,,,,,-2.03,,,-0.15,3.46,,,-1.35,,,,-3.3,
,,,,,,0.3,,,,,-2.04,,,-0.13,3.51,,,-1.32,,,,-3.3,
,,,,,,0.33,,,,,-2.06,,,-0.07,3.54,,,-1.29,,,,-3.3,
